company,segment,priority,role_to_target,website,contact_page,email_hint,notes
CBRE Australia,Property Services,Tier1,Facilities Manager,https://www.cbre.com.au,https://www.cbre.com.au/about-us/contact-us,enquiries@cbre.com.au,Target Sydney CBD asset/facilities teams
JLL Australia,Property Services,Tier1,Building Manager,https://www.jll.com.au,https://www.jll.com.au/en/contact-us,sydney@au.jll.com,Ask for NSW office facilities contact
Colliers Australia,Property Services,Tier1,Property Manager,https://www.colliers.com/en-au,https://www.colliers.com/en-au/contact,sydney@colliers.com,Focus office assets in CBD
Knight Frank Australia,Property Services,Tier1,Facilities Manager,https://www.knightfrank.com.au,https://www.knightfrank.com.au/contact-us,enquiries@au.knightfrank.com,Request office operations lead
Cushman & Wakefield AU,Property Services,Tier1,Asset Manager,https://www.cushmanwakefield.com/en/australia,https://www.cushmanwakefield.com/en/australia/contact-us,info.australia@cushwake.com,Pitch SLA-focused cleaning reliability
Savills Australia,Property Services,Tier1,Property Manager,https://www.savills.com.au,https://www.savills.com.au/contact-us.aspx,sydney@savills.com.au,Target office leasing/management teams
Charter Hall,Asset Owner,Tier1,Facilities/Operations Manager,https://www.charterhall.com.au,https://www.charterhall.com.au/contact,info@charterhall.com.au,Large office portfolio exposure
Dexus,Asset Owner,Tier1,Facilities Manager,https://www.dexus.com,https://www.dexus.com/contact,investor.relations@dexus.com,Ask to route to building ops
Mirvac,Asset Owner,Tier1,Property Operations Manager,https://www.mirvac.com,https://www.mirvac.com/contact-us,info@mirvac.com,Focus premium office towers
GPT Group,Asset Owner,Tier1,Building Manager,https://www.gpt.com.au,https://www.gpt.com.au/contact-us,investor.relations@gpt.com.au,Route to office operations
Stockland,Asset Owner,Tier2,Facilities Manager,https://www.stockland.com.au,https://www.stockland.com.au/contact-us,investorrelations@stockland.com.au,Secondary office target
Lendlease,Asset Owner,Tier1,Facilities/Asset Manager,https://www.lendlease.com,https://www.lendlease.com/au/contact,investor.relations@lendlease.com,Large commercial assets
Investa,Office Specialist,Tier1,Building Manager,https://www.investa.com.au,https://www.investa.com.au/contact,reception@investa.com.au,Office-first portfolio
ISPT,Asset Owner,Tier2,Facilities Manager,https://www.ispt.com.au,https://www.ispt.com.au/contact,info@ispt.com.au,Target office tenants/services
Frasers Property Australia,Asset Owner,Tier2,Property Operations,https://www.frasersproperty.com.au,https://www.frasersproperty.com.au/contact-us,enquiry@frasersproperty.com.au,Office + mixed assets
Goodman Group,Industrial/Commercial,Tier2,Facilities Manager,https://www.goodman.com,https://www.goodman.com/contact-us,investor.relations@goodman.com,Commercial estates
Centuria,Asset Owner,Tier2,Property Manager,https://centuria.com.au,https://centuria.com.au/contact,investorrelations@centuria.com.au,Office fund managers
Cromwell Property Group,Asset Owner,Tier2,Facilities Manager,https://www.cromwell.com.au,https://www.cromwell.com.au/contact,investor.relations@cromwell.com.au,Office-focused portfolio
Vicinity Centres,Asset Owner,Tier3,Operations Manager,https://www.vicinity.com.au,https://www.vicinity.com.au/contact,investor.relations@vicinity.com.au,Mostly retail; lower priority
AMP Capital Real Estate,Asset Manager,Tier2,Asset Manager,https://www.ampcapital.com,https://www.ampcapital.com/au/en/contact,enquiries@ampcapital.com,Route to real estate ops
IFM Investors Real Estate,Asset Manager,Tier2,Asset/Operations Manager,https://www.ifminvestors.com,https://www.ifminvestors.com/en-au/contact-us,info@ifminvestors.com,Institutional real assets
LaSalle Investment Management,Asset Manager,Tier2,Facilities Manager,https://www.lasalle.com,https://www.lasalle.com/contact,info@lasalle.com,Global office portfolio exposure
Brookfield Properties Australia,Asset Owner,Tier2,Building Manager,https://www.brookfieldproperties.com,https://www.brookfieldproperties.com/en/contact-us,info@brookfieldproperties.com,Premium commercial assets
Blackstone Real Estate (AU contacts),Asset Owner,Tier3,Operations Manager,https://www.blackstone.com,https://www.blackstone.com/contact,info@blackstone.com,Long shot; institutional
Knight Frank NSW Office Leasing,Broker,Tier2,Office Leasing Manager,https://www.knightfrank.com.au,https://www.knightfrank.com.au/contact-us,officeleasing@au.knightfrank.com,Ask for property ops intro
CBRE Sydney Office Leasing,Broker,Tier2,Office Leasing Manager,https://www.cbre.com.au,https://www.cbre.com.au/about-us/contact-us,sydneyleasing@cbre.com.au,Leasing can refer ops teams
JLL Sydney Office Leasing,Broker,Tier2,Office Leasing Manager,https://www.jll.com.au,https://www.jll.com.au/en/contact-us,officeleasing.sydney@au.jll.com,Referral channel
Colliers Sydney Office Leasing,Broker,Tier2,Office Leasing Manager,https://www.colliers.com/en-au,https://www.colliers.com/en-au/contact,officeleasing.sydney@colliers.com,Referral channel
Property Council of Australia,Association,Tier3,Events/Partnership Manager,https://www.propertycouncil.com.au,https://www.propertycouncil.com.au/contact-us,info@propertycouncil.com.au,Network access to building owners
BOMA Australia,Association,Tier3,Membership Manager,https://www.boma.org.au,https://www.boma.org.au/contact,info@boma.org.au,Facilities/building manager network
Strata Choice,Strata,Tier2,Strata Manager,https://www.stratachoice.com.au,https://www.stratachoice.com.au/contact,info@stratachoice.com.au,Commercial strata opportunities
Netstrata,Strata,Tier2,Strata Manager,https://www.netstrata.com.au,https://www.netstrata.com.au/contact-us,info@netstrata.com.au,Target mixed-use/commercial
PICA Group,Strata,Tier2,Commercial Strata Manager,https://www.picagroup.com.au,https://www.picagroup.com.au/contact-us,info@picagroup.com.au,Large strata footprint
Sydney Commercial Cleaning Association leads,Network,Tier3,Procurement/Ops,https://www.google.com/search?q=sydney+commercial+cleaning+association,,,Use as discovery source
