date_added,company,segment,priority,decision_maker_role,website,contact_page,email_or_route,suburb_focus,status,next_action
2026-02-26,CBRE Australia,Property Services,Tier1,Facilities Manager,https://www.cbre.com.au,https://www.cbre.com.au/about-us/contact-us,enquiries@cbre.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,CBRE Australia,Property Services,Tier1,Senior Facilities Manager,https://www.cbre.com.au,https://www.cbre.com.au/about-us/contact-us,enquiries@cbre.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,CBRE Australia,Property Services,Tier1,Building Manager,https://www.cbre.com.au,https://www.cbre.com.au/about-us/contact-us,enquiries@cbre.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,CBRE Australia,Property Services,Tier1,Head of Property Operations,https://www.cbre.com.au,https://www.cbre.com.au/about-us/contact-us,enquiries@cbre.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,CBRE Australia,Property Services,Tier1,Procurement Manager,https://www.cbre.com.au,https://www.cbre.com.au/about-us/contact-us,enquiries@cbre.com.au,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,JLL Australia,Property Services,Tier1,Facilities Manager,https://www.jll.com.au,https://www.jll.com.au/en/contact-us,sydney@au.jll.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,JLL Australia,Property Services,Tier1,Senior Facilities Manager,https://www.jll.com.au,https://www.jll.com.au/en/contact-us,sydney@au.jll.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,JLL Australia,Property Services,Tier1,Building Manager,https://www.jll.com.au,https://www.jll.com.au/en/contact-us,sydney@au.jll.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,JLL Australia,Property Services,Tier1,Head of Property Operations,https://www.jll.com.au,https://www.jll.com.au/en/contact-us,sydney@au.jll.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,JLL Australia,Property Services,Tier1,Procurement Manager,https://www.jll.com.au,https://www.jll.com.au/en/contact-us,sydney@au.jll.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
2026-02-26,Colliers Australia,Property Services,Tier1,Facilities Manager,https://www.colliers.com/en-au,https://www.colliers.com/en-au/contact,sydney@colliers.com,Sydney CBD,new,Find named contact on LinkedIn/company page; draft personalized outreach
